Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Replicate,Protein,Treatment
0008704_03,800,1,1040,1640,400,1.5,Signal,R1,EIF4A3,Control
0008704_03,800,2,807,1320,344,1.5,Signal,R1,EIF4A3,Control
0008704_03,800,3,1220,1830,414,1.49,Signal,R1,EIF4A3,Control
0008704_03,800,4,528,1100,387,1.47,Signal,R1,EIF4A3,CHX
0008704_03,800,5,471,1220,506,1.47,Signal,R1,EIF4A3,CHX
0008704_03,800,6,1280,2040,506,1.51,Signal,R1,EIF4A3,CHX
0008704_03,800,7,252,707,324,1.4,Signal,R2,EIF4A3,Control
0008704_03,800,8,153,574,304,1.38,Signal,R2,EIF4A3,Control
0008704_03,800,9,175,700,387,1.36,Signal,R2,EIF4A3,Control
0008704_03,800,10,109,528,312,1.34,Signal,R2,EIF4A3,CHX
0008704_03,800,11,151,616,344,1.35,Signal,R2,EIF4A3,CHX
0008704_03,800,12,429,1080,460,1.42,Signal,R2,EIF4A3,CHX
0008704_03,800,13,145,638,320,1.54,Signal,R3,EIF4A3,Control
0008704_03,800,14,133,623,328,1.49,Signal,R3,EIF4A3,Control
0008704_03,800,15,139,724,392,1.49,Signal,R3,EIF4A3,Control
0008704_03,800,16,146,637,328,1.49,Signal,R3,EIF4A3,CHX
0008704_03,800,17,191,705,344,1.49,Signal,R3,EIF4A3,CHX
0008704_03,800,18,787,1520,495,1.49,Signal,R3,EIF4A3,CHX
0008704_03,800,19,3130,3790,473,1.38,Signal,R1,RBM8A,Control
0008704_03,800,20,594,1190,440,1.36,Signal,R1,RBM8A,Control
0008704_03,800,21,763,1390,468,1.35,Signal,R1,RBM8A,Control
0008704_03,800,22,2130,2800,495,1.35,Signal,R1,RBM8A,CHX
0008704_03,800,23,547,1160,450,1.36,Signal,R1,RBM8A,CHX
0008704_03,800,24,941,1540,432,1.38,Signal,R1,RBM8A,CHX
0008704_03,800,25,8370,9050,546,1.24,Signal,R2,RBM8A,Control
0008704_03,800,26,2440,3080,520,1.24,Signal,R2,RBM8A,Control
0008704_03,800,27,1930,2640,588,1.21,Signal,R2,RBM8A,Control
0008704_03,800,28,7000,7680,559,1.22,Signal,R2,RBM8A,CHX
0008704_03,800,29,1810,2420,484,1.27,Signal,R2,RBM8A,CHX
0008704_03,800,30,3170,3890,552,1.3,Signal,R2,RBM8A,CHX
0008704_03,800,31,3030,3790,602,1.27,Signal,R3,RBM8A,Control
0008704_03,800,32,627,1230,473,1.28,Signal,R3,RBM8A,Control
0008704_03,800,33,801,1580,605,1.29,Signal,R3,RBM8A,Control
0008704_03,800,34,2030,2680,504,1.3,Signal,R3,RBM8A,CHX
0008704_03,800,35,414,989,450,1.28,Signal,R3,RBM8A,CHX
0008704_03,800,36,815,1680,696,1.24,Signal,R3,RBM8A,CHX
0008704_03,700,37,68700,73100,473,9.34,Signal,R1,MAGOH,Control
0008704_03,700,38,22100,25800,495,7.38,Signal,R1,MAGOH,Control
0008704_03,700,39,58300,62500,560,7.41,Signal,R1,MAGOH,Control
0008704_03,700,40,54600,58300,495,7.47,Signal,R1,MAGOH,CHX
0008704_03,700,41,21900,25200,460,7.24,Signal,R1,MAGOH,CHX
0008704_03,700,42,55300,59000,528,7.04,Signal,R1,MAGOH,CHX
0008704_03,700,43,70800,75900,615,8.27,Signal,R2,MAGOH,Control
0008704_03,700,44,22100,26400,574,7.46,Signal,R2,MAGOH,Control
0008704_03,700,45,34400,39500,700,7.38,Signal,R2,MAGOH,Control
0008704_03,700,46,25800,29700,520,7.46,Signal,R2,MAGOH,CHX
0008704_03,700,47,7890,11400,473,7.34,Signal,R2,MAGOH,CHX
0008704_03,700,48,26100,30400,540,7.95,Signal,R2,MAGOH,CHX
0008704_03,700,49,59100,64400,574,9.24,Signal,R3,MAGOH,Control
0008704_03,700,50,25600,30400,559,8.66,Signal,R3,MAGOH,Control
0008704_03,700,51,43900,50700,826,8.25,Signal,R3,MAGOH,Control
0008704_03,700,52,54000,58900,616,8,Signal,R3,MAGOH,CHX
0008704_03,700,53,17300,21600,528,7.99,Signal,R3,MAGOH,CHX
0008704_03,700,54,62300,70800,1008,8.48,Signal,R3,MAGOH,CHX