Well,Target,Sample,Cq,File,Exp,,source_file,Well,Fluor,Target,Sample,Cq,Exp
G09,RSRC2_PTC-,si PYM1,20.18,R1Q2,NMDtargets,,2,E09,SYBR,DAZAP1,HEK_DMSO_3,18.26469806,ncEJCtargets
G10,RSRC2_PTC-,si UPF1,19.59,R1Q2,NMDtargets,,2,E10,SYBR,CAPN1,HEK_DMSO_3,22.8739948,ncEJCtargets
G11,RSRC2_PTC-,si UPF1,19.54,R1Q2,NMDtargets,,2,E11,SYBR,CAPN1,HEK_DMSO_3,23.03666256,ncEJCtargets
G12,RSRC2_PTC-,si UPF1,19.61,R1Q2,NMDtargets,,2,E12,SYBR,CAPN1,HEK_DMSO_3,22.94703739,ncEJCtargets
A01,RPS9_PTC+,siNC,18.85,R2Q1,NMDtargets,,2,F01,SYBR,EPHA2,HEK_SMG1i_3,22.09194095,ncEJCtargets
A02,RPS9_PTC+,siNC,18.3,R2Q1,NMDtargets,,2,F02,SYBR,EPHA2,HEK_SMG1i_3,22.15733849,ncEJCtargets
A03,RPS9_PTC+,siNC,18.21,R2Q1,NMDtargets,,2,F03,SYBR,EPHA2,HEK_SMG1i_3,22.16769299,ncEJCtargets
A04,RPS9_PTC+,si eIF4A3,19.44,R2Q1,NMDtargets,,2,F04,SYBR,EIF4G1,HEK_SMG1i_3,19.14580506,ncEJCtargets
A05,RPS9_PTC+,si eIF4A3,19.76,R2Q1,NMDtargets,,2,F05,SYBR,EIF4G1,HEK_SMG1i_3,19.18275942,ncEJCtargets
A06,RPS9_PTC+,si eIF4A3,19.98,R2Q1,NMDtargets,,2,F06,SYBR,EIF4G1,HEK_SMG1i_3,19.18420927,ncEJCtargets
A07,RPS9_PTC+,si PYM1,18.83,R2Q1,NMDtargets,,2,F07,SYBR,DAZAP1,HEK_SMG1i_3,18.35084884,ncEJCtargets
A08,RPS9_PTC+,si PYM1,18.94,R2Q1,NMDtargets,,2,F08,SYBR,DAZAP1,HEK_SMG1i_3,18.38418005,ncEJCtargets
A09,RPS9_PTC+,si PYM1,18.97,R2Q1,NMDtargets,,2,F09,SYBR,DAZAP1,HEK_SMG1i_3,18.1788024,ncEJCtargets
A10,RPS9_PTC+,si UPF1,19.35,R2Q1,NMDtargets,,2,F10,SYBR,CAPN1,HEK_SMG1i_3,22.9806388,ncEJCtargets
A11,RPS9_PTC+,si UPF1,19.53,R2Q1,NMDtargets,,2,F11,SYBR,CAPN1,HEK_SMG1i_3,23.07452243,ncEJCtargets
A12,RPS9_PTC+,si UPF1,19.84,R2Q1,NMDtargets,,2,F12,SYBR,CAPN1,HEK_SMG1i_3,23.14188453,ncEJCtargets
B01,RPS9_NOR,siNC,18.87,R2Q1,NMDtargets,,2,G01,SYBR,EPHA2,HCT_DMSO_1,20.89700023,ncEJCtargets
B02,RPS9_NOR,siNC,18.76,R2Q1,NMDtargets,,2,G02,SYBR,EPHA2,HCT_DMSO_1,20.91574217,ncEJCtargets
B03,RPS9_NOR,siNC,18.9,R2Q1,NMDtargets,,2,G03,SYBR,EPHA2,HCT_DMSO_1,20.90658511,ncEJCtargets
B04,RPS9_NOR,si eIF4A3,20.59,R2Q1,NMDtargets,,2,G04,SYBR,EIF4G1,HCT_DMSO_1,19.90888174,ncEJCtargets
B05,RPS9_NOR,si eIF4A3,20.75,R2Q1,NMDtargets,,2,G05,SYBR,EIF4G1,HCT_DMSO_1,19.86019012,ncEJCtargets
B06,RPS9_NOR,si eIF4A3,20.79,R2Q1,NMDtargets,,2,G06,SYBR,EIF4G1,HCT_DMSO_1,19.8495439,ncEJCtargets
B07,RPS9_NOR,si PYM1,18.98,R2Q1,NMDtargets,,2,G07,SYBR,DAZAP1,HCT_DMSO_1,19.01870798,ncEJCtargets
B08,RPS9_NOR,si PYM1,18.91,R2Q1,NMDtargets,,2,G08,SYBR,DAZAP1,HCT_DMSO_1,19.09284168,ncEJCtargets
B09,RPS9_NOR,si PYM1,19.54,R2Q1,NMDtargets,,2,G09,SYBR,DAZAP1,HCT_DMSO_1,19.23002551,ncEJCtargets
B10,RPS9_NOR,si UPF1,19.84,R2Q1,NMDtargets,,2,G10,SYBR,CAPN1,HCT_DMSO_1,21.33951353,ncEJCtargets
B11,RPS9_NOR,si UPF1,20.06,R2Q1,NMDtargets,,2,G11,SYBR,CAPN1,HCT_DMSO_1,21.35411715,ncEJCtargets
B12,RPS9_NOR,si UPF1,20.15,R2Q1,NMDtargets,,2,G12,SYBR,CAPN1,HCT_DMSO_1,21.41623079,ncEJCtargets
C01,GAPDH,siNC,16.62,R2Q1,NMDtargets,,2,H01,SYBR,EPHA2,HCT_SMG1i_1,19.20422164,ncEJCtargets
C02,GAPDH,siNC,16.87,R2Q1,NMDtargets,,2,H02,SYBR,EPHA2,HCT_SMG1i_1,19.44015001,ncEJCtargets
C03,GAPDH,siNC,16.94,R2Q1,NMDtargets,,2,H03,SYBR,EPHA2,HCT_SMG1i_1,19.22885335,ncEJCtargets
C04,GAPDH,si eIF4A3,18.65,R2Q1,NMDtargets,,2,H04,SYBR,EIF4G1,HCT_SMG1i_1,20.07923155,ncEJCtargets
C05,GAPDH,si eIF4A3,18.66,R2Q1,NMDtargets,,2,H05,SYBR,EIF4G1,HCT_SMG1i_1,20.38147277,ncEJCtargets
C06,GAPDH,si eIF4A3,18.64,R2Q1,NMDtargets,,2,H06,SYBR,EIF4G1,HCT_SMG1i_1,20.26920346,ncEJCtargets
C07,GAPDH,si PYM1,17.57,R2Q1,NMDtargets,,2,H07,SYBR,DAZAP1,HCT_SMG1i_1,19.62318401,ncEJCtargets
C08,GAPDH,si PYM1,17.28,R2Q1,NMDtargets,,2,H08,SYBR,DAZAP1,HCT_SMG1i_1,19.65963242,ncEJCtargets
C09,GAPDH,si PYM1,17.64,R2Q1,NMDtargets,,2,H09,SYBR,DAZAP1,HCT_SMG1i_1,19.58386807,ncEJCtargets
C10,GAPDH,si UPF1,17.2,R2Q1,NMDtargets,,2,H10,SYBR,CAPN1,HCT_SMG1i_1,21.63805486,ncEJCtargets
C11,GAPDH,si UPF1,17.51,R2Q1,NMDtargets,,2,H11,SYBR,CAPN1,HCT_SMG1i_1,21.52247204,ncEJCtargets
C12,GAPDH,si UPF1,17.65,R2Q1,NMDtargets,,2,H12,SYBR,CAPN1,HCT_SMG1i_1,21.56668387,ncEJCtargets
D01,SRSF2_PTC+,siNC,23.59,R2Q1,NMDtargets,,3,A01,SYBR,FOXK1,HEK_DMSO_1,22.50616284,ncEJCtargets
D02,SRSF2_PTC+,siNC,24.69,R2Q1,NMDtargets,,3,A02,SYBR,FOXK1,HEK_DMSO_1,22.78864502,ncEJCtargets
D03,SRSF2_PTC+,siNC,24.52,R2Q1,NMDtargets,,3,A03,SYBR,FOXK1,HEK_DMSO_1,22.79658343,ncEJCtargets
D04,SRSF2_PTC+,si eIF4A3,22.9,R2Q1,NMDtargets,,3,A04,SYBR,MAPK3,HEK_DMSO_1,20.72158313,ncEJCtargets
D05,SRSF2_PTC+,si eIF4A3,22.65,R2Q1,NMDtargets,,3,A05,SYBR,MAPK3,HEK_DMSO_1,20.83570921,ncEJCtargets
D06,SRSF2_PTC+,si eIF4A3,21.91,R2Q1,NMDtargets,,3,A06,SYBR,MAPK3,HEK_DMSO_1,20.80780828,ncEJCtargets
D07,SRSF2_PTC+,si PYM1,24.7,R2Q1,NMDtargets,,3,A07,SYBR,MYH9,HEK_DMSO_1,21.45775304,ncEJCtargets
D08,SRSF2_PTC+,si PYM1,25,R2Q1,NMDtargets,,3,A08,SYBR,MYH9,HEK_DMSO_1,21.32490212,ncEJCtargets
D09,SRSF2_PTC+,si PYM1,24.99,R2Q1,NMDtargets,,3,A09,SYBR,MYH9,HEK_DMSO_1,21.42024148,ncEJCtargets
D10,SRSF2_PTC+,si UPF1,24.99,R2Q1,NMDtargets,,3,A10,SYBR,NOC2L,HEK_DMSO_1,19.85306929,ncEJCtargets
D11,SRSF2_PTC+,si UPF1,25.28,R2Q1,NMDtargets,,3,A11,SYBR,NOC2L,HEK_DMSO_1,19.80191446,ncEJCtargets
D12,SRSF2_PTC+,si UPF1,25.45,R2Q1,NMDtargets,,3,A12,SYBR,NOC2L,HEK_DMSO_1,19.7140555,ncEJCtargets
E01,SRSF2_NOR,siNC,16.89,R2Q1,NMDtargets,,3,B01,SYBR,FOXK1,HEK_SMG1i_1,22.46520429,ncEJCtargets
E02,SRSF2_NOR,siNC,18.73,R2Q1,NMDtargets,,3,B02,SYBR,FOXK1,HEK_SMG1i_1,22.68287362,ncEJCtargets
E03,SRSF2_NOR,siNC,18.35,R2Q1,NMDtargets,,3,B03,SYBR,FOXK1,HEK_SMG1i_1,22.77280896,ncEJCtargets
E04,SRSF2_NOR,si eIF4A3,21.03,R2Q1,NMDtargets,,3,B04,SYBR,MAPK3,HEK_SMG1i_1,20.57336695,ncEJCtargets
E05,SRSF2_NOR,si eIF4A3,21.29,R2Q1,NMDtargets,,3,B05,SYBR,MAPK3,HEK_SMG1i_1,20.65830374,ncEJCtargets
E06,SRSF2_NOR,si eIF4A3,21.49,R2Q1,NMDtargets,,3,B06,SYBR,MAPK3,HEK_SMG1i_1,20.62853487,ncEJCtargets
E07,SRSF2_NOR,si PYM1,18.72,R2Q1,NMDtargets,,3,B07,SYBR,MYH9,HEK_SMG1i_1,21.41386341,ncEJCtargets
E08,SRSF2_NOR,si PYM1,19.23,R2Q1,NMDtargets,,3,B08,SYBR,MYH9,HEK_SMG1i_1,21.38603662,ncEJCtargets
E09,SRSF2_NOR,si PYM1,19.6,R2Q1,NMDtargets,,3,B09,SYBR,MYH9,HEK_SMG1i_1,21.33793221,ncEJCtargets
E10,SRSF2_NOR,si UPF1,19.07,R2Q1,NMDtargets,,3,B10,SYBR,NOC2L,HEK_SMG1i_1,20.27280352,ncEJCtargets
E11,SRSF2_NOR,si UPF1,19.7,R2Q1,NMDtargets,,3,B11,SYBR,NOC2L,HEK_SMG1i_1,20.18751535,ncEJCtargets
E12,SRSF2_NOR,si UPF1,19.78,R2Q1,NMDtargets,,3,B12,SYBR,NOC2L,HEK_SMG1i_1,20.1128034,ncEJCtargets
F01,TBP,siNC,19.88,R2Q1,NMDtargets,,3,C01,SYBR,FOXK1,HEK_DMSO_2,21.95420135,ncEJCtargets
F02,TBP,siNC,20.86,R2Q1,NMDtargets,,3,C02,SYBR,FOXK1,HEK_DMSO_2,22.15255443,ncEJCtargets
F03,TBP,siNC,21.05,R2Q1,NMDtargets,,3,C03,SYBR,FOXK1,HEK_DMSO_2,22.1915451,ncEJCtargets
F04,TBP,si eIF4A3,21.05,R2Q1,NMDtargets,,3,C04,SYBR,MAPK3,HEK_DMSO_2,21.28515089,ncEJCtargets
F05,TBP,si eIF4A3,21.43,R2Q1,NMDtargets,,3,C05,SYBR,MAPK3,HEK_DMSO_2,21.30244103,ncEJCtargets
F06,TBP,si eIF4A3,21.64,R2Q1,NMDtargets,,3,C06,SYBR,MAPK3,HEK_DMSO_2,21.32864497,ncEJCtargets
F07,TBP,si PYM1,20.69,R2Q1,NMDtargets,,3,C07,SYBR,MYH9,HEK_DMSO_2,21.5348649,ncEJCtargets
F08,TBP,si PYM1,21.48,R2Q1,NMDtargets,,3,C08,SYBR,MYH9,HEK_DMSO_2,21.64578169,ncEJCtargets
F09,TBP,si PYM1,21.66,R2Q1,NMDtargets,,3,C09,SYBR,MYH9,HEK_DMSO_2,21.49356105,ncEJCtargets
F10,TBP,si UPF1,20.81,R2Q1,NMDtargets,,3,C10,SYBR,NOC2L,HEK_DMSO_2,20.18957041,ncEJCtargets
F11,TBP,si UPF1,20.73,R2Q1,NMDtargets,,3,C11,SYBR,NOC2L,HEK_DMSO_2,20.04140021,ncEJCtargets
F12,TBP,si UPF1,20.03,R2Q1,NMDtargets,,3,C12,SYBR,NOC2L,HEK_DMSO_2,20.05917586,ncEJCtargets
G01,SRSF3_PTC+,siNC,20.46,R2Q1,NMDtargets,,3,D01,SYBR,FOXK1,HEK_SMG1i_2,21.87322078,ncEJCtargets
G02,SRSF3_PTC+,siNC,20.87,R2Q1,NMDtargets,,3,D02,SYBR,FOXK1,HEK_SMG1i_2,21.8998995,ncEJCtargets
G03,SRSF3_PTC+,siNC,20.98,R2Q1,NMDtargets,,3,D03,SYBR,FOXK1,HEK_SMG1i_2,22.00462113,ncEJCtargets
G04,SRSF3_PTC+,si eIF4A3,19.86,R2Q1,NMDtargets,,3,D04,SYBR,MAPK3,HEK_SMG1i_2,20.67130565,ncEJCtargets
G05,SRSF3_PTC+,si eIF4A3,20.03,R2Q1,NMDtargets,,3,D05,SYBR,MAPK3,HEK_SMG1i_2,20.6715782,ncEJCtargets
G06,SRSF3_PTC+,si eIF4A3,20.01,R2Q1,NMDtargets,,3,D06,SYBR,MAPK3,HEK_SMG1i_2,20.73581977,ncEJCtargets
G07,SRSF3_PTC+,si PYM1,20.19,R2Q1,NMDtargets,,3,D07,SYBR,MYH9,HEK_SMG1i_2,20.99210109,ncEJCtargets
G08,SRSF3_PTC+,si PYM1,20.75,R2Q1,NMDtargets,,3,D08,SYBR,MYH9,HEK_SMG1i_2,21.04995747,ncEJCtargets
G09,SRSF3_PTC+,si PYM1,20.8,R2Q1,NMDtargets,,3,D09,SYBR,MYH9,HEK_SMG1i_2,21.0064551,ncEJCtargets
G10,SRSF3_PTC+,si UPF1,20.85,R2Q1,NMDtargets,,3,D10,SYBR,NOC2L,HEK_SMG1i_2,20.51525204,ncEJCtargets
G11,SRSF3_PTC+,si UPF1,20.97,R2Q1,NMDtargets,,3,D11,SYBR,NOC2L,HEK_SMG1i_2,20.44011471,ncEJCtargets
G12,SRSF3_PTC+,si UPF1,21.1,R2Q1,NMDtargets,,3,D12,SYBR,NOC2L,HEK_SMG1i_2,20.19213815,ncEJCtargets
H01,SRSF3_NOR,siNC,16.35,R2Q1,NMDtargets,,3,E01,SYBR,FOXK1,HEK_DMSO_3,22.90694751,ncEJCtargets
H02,SRSF3_NOR,siNC,16.11,R2Q1,NMDtargets,,3,E02,SYBR,FOXK1,HEK_DMSO_3,22.85050906,ncEJCtargets
H03,SRSF3_NOR,siNC,16.05,R2Q1,NMDtargets,,3,E03,SYBR,FOXK1,HEK_DMSO_3,22.93519282,ncEJCtargets
H04,SRSF3_NOR,si eIF4A3,17.88,R2Q1,NMDtargets,,3,E04,SYBR,MAPK3,HEK_DMSO_3,20.65344553,ncEJCtargets
H05,SRSF3_NOR,si eIF4A3,18.02,R2Q1,NMDtargets,,3,E05,SYBR,MAPK3,HEK_DMSO_3,20.74580945,ncEJCtargets
H06,SRSF3_NOR,si eIF4A3,18,R2Q1,NMDtargets,,3,E06,SYBR,MAPK3,HEK_DMSO_3,20.98402001,ncEJCtargets
H07,SRSF3_NOR,si PYM1,16.79,R2Q1,NMDtargets,,3,E07,SYBR,MYH9,HEK_DMSO_3,21.68999767,ncEJCtargets
H08,SRSF3_NOR,si PYM1,16.95,R2Q1,NMDtargets,,3,E08,SYBR,MYH9,HEK_DMSO_3,21.63648851,ncEJCtargets
H09,SRSF3_NOR,si PYM1,16.74,R2Q1,NMDtargets,,3,E09,SYBR,MYH9,HEK_DMSO_3,21.68062058,ncEJCtargets
H10,SRSF3_NOR,si UPF1,17.14,R2Q1,NMDtargets,,3,E10,SYBR,NOC2L,HEK_DMSO_3,20.06248045,ncEJCtargets
H11,SRSF3_NOR,si UPF1,17.24,R2Q1,NMDtargets,,3,E11,SYBR,NOC2L,HEK_DMSO_3,19.98630732,ncEJCtargets
H12,SRSF3_NOR,si UPF1,17.28,R2Q1,NMDtargets,,3,E12,SYBR,NOC2L,HEK_DMSO_3,20.01913158,ncEJCtargets
A01,RSRC2_PTC+,siNC,24.49,R2Q2,NMDtargets,,3,F01,SYBR,FOXK1,HEK_SMG1i_3,22.55889716,ncEJCtargets
A02,RSRC2_PTC+,siNC,25.37,R2Q2,NMDtargets,,3,F02,SYBR,FOXK1,HEK_SMG1i_3,22.71244166,ncEJCtargets
A03,RSRC2_PTC+,siNC,25.45,R2Q2,NMDtargets,,3,F03,SYBR,FOXK1,HEK_SMG1i_3,22.73412012,ncEJCtargets
A04,RSRC2_PTC+,si eIF4A3,24.61,R2Q2,NMDtargets,,3,F04,SYBR,MAPK3,HEK_SMG1i_3,20.70394509,ncEJCtargets
A05,RSRC2_PTC+,si eIF4A3,24.34,R2Q2,NMDtargets,,3,F05,SYBR,MAPK3,HEK_SMG1i_3,20.67615601,ncEJCtargets
A06,RSRC2_PTC+,si eIF4A3,24.81,R2Q2,NMDtargets,,3,F06,SYBR,MAPK3,HEK_SMG1i_3,20.71468458,ncEJCtargets
A07,RSRC2_PTC+,si PYM1,24.95,R2Q2,NMDtargets,,3,F07,SYBR,MYH9,HEK_SMG1i_3,21.4796311,ncEJCtargets
A08,RSRC2_PTC+,si PYM1,24.63,R2Q2,NMDtargets,,3,F08,SYBR,MYH9,HEK_SMG1i_3,21.50434762,ncEJCtargets
A09,RSRC2_PTC+,si PYM1,24.61,R2Q2,NMDtargets,,3,F09,SYBR,MYH9,HEK_SMG1i_3,21.49381848,ncEJCtargets
A10,RSRC2_PTC+,si UPF1,24.89,R2Q2,NMDtargets,,3,F10,SYBR,NOC2L,HEK_SMG1i_3,20.29698254,ncEJCtargets
A11,RSRC2_PTC+,si UPF1,24.8,R2Q2,NMDtargets,,3,F11,SYBR,NOC2L,HEK_SMG1i_3,20.11281743,ncEJCtargets
A12,RSRC2_PTC+,si UPF1,24.96,R2Q2,NMDtargets,,3,F12,SYBR,NOC2L,HEK_SMG1i_3,20.1684971,ncEJCtargets
B01,RSRC2_NOR,siNC,23.08,R2Q2,NMDtargets,,3,G01,SYBR,FOXK1,HCT_DMSO_1,21.9856976,ncEJCtargets
B02,RSRC2_NOR,siNC,22.76,R2Q2,NMDtargets,,3,G02,SYBR,FOXK1,HCT_DMSO_1,22.05047387,ncEJCtargets
B03,RSRC2_NOR,siNC,22.95,R2Q2,NMDtargets,,3,G03,SYBR,FOXK1,HCT_DMSO_1,22.22417489,ncEJCtargets
B04,RSRC2_NOR,si eIF4A3,24.4,R2Q2,NMDtargets,,3,G04,SYBR,MAPK3,HCT_DMSO_1,21.33177727,ncEJCtargets
B05,RSRC2_NOR,si eIF4A3,24.39,R2Q2,NMDtargets,,3,G05,SYBR,MAPK3,HCT_DMSO_1,21.32289399,ncEJCtargets
B06,RSRC2_NOR,si eIF4A3,24.67,R2Q2,NMDtargets,,3,G06,SYBR,MAPK3,HCT_DMSO_1,21.41992641,ncEJCtargets
B07,RSRC2_NOR,si PYM1,23.71,R2Q2,NMDtargets,,3,G07,SYBR,MYH9,HCT_DMSO_1,21.43983111,ncEJCtargets
B08,RSRC2_NOR,si PYM1,23.33,R2Q2,NMDtargets,,3,G08,SYBR,MYH9,HCT_DMSO_1,21.48688169,ncEJCtargets
B09,RSRC2_NOR,si PYM1,23.59,R2Q2,NMDtargets,,3,G09,SYBR,MYH9,HCT_DMSO_1,21.53632238,ncEJCtargets
B10,RSRC2_NOR,si UPF1,24.51,R2Q2,NMDtargets,,3,G10,SYBR,NOC2L,HCT_DMSO_1,20.37336336,ncEJCtargets
B11,RSRC2_NOR,si UPF1,24.34,R2Q2,NMDtargets,,3,G11,SYBR,NOC2L,HCT_DMSO_1,20.19693197,ncEJCtargets
B12,RSRC2_NOR,si UPF1,24.59,R2Q2,NMDtargets,,3,G12,SYBR,NOC2L,HCT_DMSO_1,20.23005009,ncEJCtargets
C01,ZFAS1,siNC,20.83,R2Q2,NMDtargets,,3,H01,SYBR,FOXK1,HCT_SMG1i_1,21.85584694,ncEJCtargets
C02,ZFAS1,siNC,20.88,R2Q2,NMDtargets,,3,H02,SYBR,FOXK1,HCT_SMG1i_1,21.92216938,ncEJCtargets
C03,ZFAS1,siNC,21.23,R2Q2,NMDtargets,,3,H03,SYBR,FOXK1,HCT_SMG1i_1,21.96220304,ncEJCtargets
C04,ZFAS1,si eIF4A3,19.94,R2Q2,NMDtargets,,3,H04,SYBR,MAPK3,HCT_SMG1i_1,20.79779832,ncEJCtargets
C05,ZFAS1,si eIF4A3,19.07,R2Q2,NMDtargets,,3,H05,SYBR,MAPK3,HCT_SMG1i_1,20.78072481,ncEJCtargets
C06,ZFAS1,si eIF4A3,19.61,R2Q2,NMDtargets,,3,H06,SYBR,MAPK3,HCT_SMG1i_1,20.83904904,ncEJCtargets
C07,ZFAS1,si PYM1,22.08,R2Q2,NMDtargets,,3,H07,SYBR,MYH9,HCT_SMG1i_1,21.01620041,ncEJCtargets
C08,ZFAS1,si PYM1,21.75,R2Q2,NMDtargets,,3,H08,SYBR,MYH9,HCT_SMG1i_1,21.02970783,ncEJCtargets
C09,ZFAS1,si PYM1,21.76,R2Q2,NMDtargets,,3,H09,SYBR,MYH9,HCT_SMG1i_1,21.04283207,ncEJCtargets
C10,ZFAS1,si UPF1,21.22,R2Q2,NMDtargets,,3,H10,SYBR,NOC2L,HCT_SMG1i_1,20.83355091,ncEJCtargets
C11,ZFAS1,si UPF1,22.12,R2Q2,NMDtargets,,3,H11,SYBR,NOC2L,HCT_SMG1i_1,20.73242649,ncEJCtargets
C12,ZFAS1,si UPF1,21.79,R2Q2,NMDtargets,,3,H12,SYBR,NOC2L,HCT_SMG1i_1,20.68963354,ncEJCtargets
D01,GAS5,siNC,17.94,R2Q2,NMDtargets,,4,A01,SYBR,SLC7A5,HEK_DMSO_1,22.37014077,ncEJCtargets
D02,GAS5,siNC,17.98,R2Q2,NMDtargets,,4,A02,SYBR,SLC7A5,HEK_DMSO_1,22.28304419,ncEJCtargets
D03,GAS5,siNC,18.87,R2Q2,NMDtargets,,4,A03,SYBR,SLC7A5,HEK_DMSO_1,22.51131521,ncEJCtargets
D04,GAS5,si eIF4A3,18.82,R2Q2,NMDtargets,,4,A04,SYBR,TRIM28,HEK_DMSO_1,31.95744951,ncEJCtargets
D05,GAS5,si eIF4A3,17.81,R2Q2,NMDtargets,,4,A05,SYBR,TRIM28,HEK_DMSO_1,31.9526283,ncEJCtargets
D06,GAS5,si eIF4A3,18.35,R2Q2,NMDtargets,,4,A06,SYBR,TRIM28,HEK_DMSO_1,28.59987606,ncEJCtargets
D07,GAS5,si PYM1,18.44,R2Q2,NMDtargets,,4,A07,SYBR,USF2,HEK_DMSO_1,19.04594017,ncEJCtargets
D08,GAS5,si PYM1,18.09,R2Q2,NMDtargets,,4,A08,SYBR,USF2,HEK_DMSO_1,18.84057728,ncEJCtargets
D09,GAS5,si PYM1,17.98,R2Q2,NMDtargets,,4,A09,SYBR,USF2,HEK_DMSO_1,18.85272033,ncEJCtargets
D10,GAS5,si UPF1,17.55,R2Q2,NMDtargets,,4,B01,SYBR,SLC7A5,HEK_SMG1i_1,21.76125227,ncEJCtargets
D11,GAS5,si UPF1,18.5,R2Q2,NMDtargets,,4,B02,SYBR,SLC7A5,HEK_SMG1i_1,21.66230514,ncEJCtargets
D12,GAS5,si UPF1,16.44,R2Q2,NMDtargets,,4,B03,SYBR,SLC7A5,HEK_SMG1i_1,21.63455903,ncEJCtargets
E01,GAPDH,siNC,14.06,R2Q2,NMDtargets,,4,B04,SYBR,TRIM28,HEK_SMG1i_1,31.98301703,ncEJCtargets
E02,GAPDH,siNC,13.97,R2Q2,NMDtargets,,4,B05,SYBR,TRIM28,HEK_SMG1i_1,29.14295018,ncEJCtargets
E03,GAPDH,siNC,14.71,R2Q2,NMDtargets,,4,B06,SYBR,TRIM28,HEK_SMG1i_1,28.04581771,ncEJCtargets
E04,GAPDH,si eIF4A3,15.8,R2Q2,NMDtargets,,4,B07,SYBR,USF2,HEK_SMG1i_1,19.32173526,ncEJCtargets
E05,GAPDH,si eIF4A3,15.62,R2Q2,NMDtargets,,4,B08,SYBR,USF2,HEK_SMG1i_1,19.29684596,ncEJCtargets
E06,GAPDH,si eIF4A3,15.75,R2Q2,NMDtargets,,4,B09,SYBR,USF2,HEK_SMG1i_1,19.28449971,ncEJCtargets
E07,GAPDH,si PYM1,14.57,R2Q2,NMDtargets,,4,C01,SYBR,SLC7A5,HEK_DMSO_2,19.68874445,ncEJCtargets
